date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250609,0,16420,2102.5,,,,,,,2558.5,,2558.5
20250526,12,9800,6331.48,1025.07,,,4698.0,,,34340.88,21212.62,36105.12
20250605,20,9040,2325.4,552.25,3423.43,,6576.25,,3975.68,58275.51,,62251.19
20250519,0,11400,626.5,41569.25,,,92457.24,,69438.25,112911.1,,182770.35
20250515,7,7020,1308.0,,,,3847.42,,31727.1,5155.42,,36882.52
20250612,7,9800,6772.0,703.0,,,1157.5,,5021.0,24429.5,15797.0,32186.17
20250522,20,6700,46236.18,2856.0,,,20230.0,,311459.04,188101.51,,499560.55
20250602,22,16740,23177.71,,,,,,,23177.71,,23177.71
20250516,21,3920,13355.8,,,,,,2510808.81,13355.8,,2524164.61
20250525,10,11529,4351.5,,,13160.0,,,670097.93,897076.91,,1567174.84
20250609,7,11410,1824.4,,,,892.62,,12254.0,2717.02,,14971.02
20250503,15,2830,868.5,,,,19973.5,,,20842.0,,20842.0
20250512,20,5348,100281.74,4275.6,,598.99,,,78287.49,643284.89,,721572.38
20250524,0,3020,68762.98,2298568.79,33543.0,,113937.23,,2960670.04,2506095.98,597511.09,5569651.34
20250517,11,14420,43448.12,2563.6,,,5715.07,,2563.6,146953.46,,149946.06
20250511,0,4369,78391.65,9404.75,,,24064.93,,9404.75,126912.56,,136317.31
20250611,2,15400,5691.0,,,,,,,5691.0,,5691.0
20250504,19,1620,40880.21,,,,,,,57139.45,,57139.45
20250529,10,6010,15003.68,,,,775.02,,11845.0,49384.15,,61229.15
20250511,16,5348,101012.15,4755.65,,442.0,,,12875.65,525511.48,,538387.13
20250518,8,4630,1834.4,,,,,,,36801.52,,36801.52
20250503,0,3530,5665.0,6053.2,,,3955.31,,26336.1,336972.9,,363309.0
20250519,5,3810,4812.01,1007.0,,,8132.5,,7368.14,16285.71,,23653.85
20250609,7,9040,1494.15,1103.0,,,10.0,,4446.0,143490.29,,147936.29
20250607,0,9089,1897.0,36750.66,,,,,37680.66,29972.06,,67652.72
20250509,14,1000,6657.02,186.0,,,16561.0,,87026.52,30079.95,,117106.47
20250606,18,7130,749.0,,,,,,,749.0,,749.0
20250609,17,7130,1427.9,,,,,,,1427.9,,1427.9
20250523,20,7020,2757.4,275.0,,,5811.24,,275.0,8568.64,,8843.64
20250502,8,14200,26767.22,,,,702.5,,,29835.85,,29835.85
20250522,5,14700,3165.0,106.0,,,,,,3271.0,,3271.0
20250505,16,14646,1191.8,,,,,,,1191.8,,1191.8
20250527,17,5500,739.0,,,,,,805.0,739.0,,1544.0
20250503,0,1180,10983.5,91106.95,,3150.0,42495.47,,546006.23,643462.18,,1189468.41
20250530,21,1180,10531.02,,,,15487.5,,,26018.52,,26018.52
20250516,16,11400,7293.67,8697.2,,,18306.5,,8697.2,25600.17,,34297.37
20250521,0,7020,31278.8,30057.23,88579.0,,7595.67,,421328.42,116255.44,,539044.86
20250514,0,4040,3601.5,190798.45,,,27884.0,,582460.18,1023349.24,,1605809.42
20250526,19,11870,63215.29,,,,3722.62,,,75657.52,,91011.84
20250527,7,15900,30974.74,,,,23155.99,,15913.0,54130.73,,70043.73
20250611,0,10020,58.9,,,,9635.13,,13650.0,31290.62,,44940.62
